,order_id,order_date,delivery_date,customer_name,gender,age,city,state,product_id,price_per_unit,quantity,total_price,product_ID,product_type,product_name,size,colour,price,stock,description,time_arrivale,cumulative
32,7,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,Walterstad,New South Wales,850,113,2,226,850,Trousers,Chinos,XS,yellow,100,41,"A yellow coloured, XS sized, Chinos Trousers",6,7102
33,7,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,Walterstad,New South Wales,1162,99,3,297,1162,Trousers,High-Waisted,M,orange,98,69,"A orange coloured, M sized, High-Waisted Trousers",6,7399
34,8,2021-04-12,2021-05-01,Aurie Margett,Agender,39,Amelieburgh,New South Wales,765,109,1,109,765,Jacket,Peacoat,XS,violet,102,54,"A violet coloured, XS sized, Peacoat Jacket",19,7508
35,8,2021-04-12,2021-05-01,Aurie Margett,Agender,39,Amelieburgh,New South Wales,256,95,2,190,256,Shirt,Polo,S,yellow,117,77,"A yellow coloured, S sized, Polo Shirt",19,7698
36,9,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,O'connertown,Tasmania,203,98,1,98,203,Shirt,Camp Collared,L,indigo,112,72,"A indigo coloured, L sized, Camp Collared Shirt",10,7796
37,9,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,O'connertown,Tasmania,486,118,2,236,486,Jacket,Puffer,S,violet,110,46,"A violet coloured, S sized, Puffer Jacket",10,8032
38,9,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,O'connertown,Tasmania,708,119,1,119,708,Jacket,Trench Coat,L,orange,112,70,"A orange coloured, L sized, Trench Coat Jacket",10,8151
39,9,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,O'connertown,Tasmania,1040,90,2,180,1040,Trousers,Relaxed Leg,XS,indigo,95,60,"A indigo coloured, XS sized, Relaxed Leg Trousers",10,8331
40,9,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,O'connertown,Tasmania,917,96,3,288,917,Trousers,Drawstring,M,orange,104,76,"A orange coloured, M sized, Drawstring Trousers",10,8619
41,9,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,O'connertown,Tasmania,1061,93,2,186,1061,Trousers,Joggers,S,yellow,94,76,"A yellow coloured, S sized, Joggers Trousers",10,8805
42,9,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,O'connertown,Tasmania,35,104,2,208,35,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",10,9013
43,10,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,Sophiemouth,Tasmania,325,109,3,327,325,Shirt,Mandarin Collar,XS,yellow,108,45,"A yellow coloured, XS sized, Mandarin Collar Shirt",1,9340
44,10,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,Sophiemouth,Tasmania,860,113,2,226,860,Trousers,Chinos,XS,blue,100,69,"A blue coloured, XS sized, Chinos Trousers",1,9566
45,10,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,Sophiemouth,Tasmania,426,107,3,321,426,Jacket,Denim,S,orange,92,51,"A orange coloured, S sized, Denim Jacket",1,9887
46,11,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,Port Adamburgh,Northern Territory,877,94,2,188,877,Trousers,Cords,M,red,113,68,"A red coloured, M sized, Cords Trousers",15,10075
47,11,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,Port Adamburgh,Northern Territory,780,91,3,273,780,Jacket,Pullover,XS,yellow,114,65,"A yellow coloured, XS sized, Pullover Jacket",15,10348
48,12,2021-06-30,2021-07-11,Didi Garton,Polygender,60,Carterbury,Queensland,782,91,1,91,782,Jacket,Pullover,M,yellow,114,49,"A yellow coloured, M sized, Pullover Jacket",11,10439
49,12,2021-06-30,2021-07-11,Didi Garton,Polygender,60,Carterbury,Queensland,632,93,2,186,632,Jacket,Coach,M,red,115,76,"A red coloured, M sized, Coach Jacket",11,10625
50,12,2021-06-30,2021-07-11,Didi Garton,Polygender,60,Carterbury,Queensland,846,113,3,339,846,Trousers,Chinos,S,orange,100,58,"A orange coloured, S sized, Chinos Trousers",11,10964
51,12,2021-06-30,2021-07-11,Didi Garton,Polygender,60,Carterbury,Queensland,180,98,1,98,180,Shirt,Camp Collared,XS,orange,112,52,"A orange coloured, XS sized, Camp Collared Shirt",11,11062
52,13,2021-10-15,2021-10-31,Bird McGarvie,Female,60,East Jakeberg,New South Wales,217,106,2,212,217,Shirt,Chambray,M,orange,105,43,"A orange coloured, M sized, Chambray Shirt",16,11274
53,13,2021-10-15,2021-10-31,Bird McGarvie,Female,60,East Jakeberg,New South Wales,95,118,3,354,95,Shirt,Flannel,XS,indigo,96,46,"A indigo coloured, XS sized, Flannel Shirt",16,11628
54,13,2021-10-15,2021-10-31,Bird McGarvie,Female,60,East Jakeberg,New South Wales,800,91,2,182,800,Jacket,Pullover,XS,violet,114,61,"A violet coloured, XS sized, Pullover Jacket",16,11810
55,13,2021-10-15,2021-10-31,Bird McGarvie,Female,60,East Jakeberg,New South Wales,835,117,1,117,835,Jacket,Shearling,XS,violet,95,75,"A violet coloured, XS sized, Shearling Jacket",16,11927
56,13,2021-10-15,2021-10-31,Bird McGarvie,Female,60,East Jakeberg,New South Wales,1249,112,2,224,1249,Trousers,Tracksuit Bottoms,XL,blue,91,68,"A blue coloured, XL sized, Tracksuit Bottoms Trousers",16,12151
57,13,2021-10-15,2021-10-31,Bird McGarvie,Female,60,East Jakeberg,New South Wales,753,109,2,218,753,Jacket,Peacoat,L,green,102,73,"A green coloured, L sized, Peacoat Jacket",16,12369
58,13,2021-10-15,2021-10-31,Bird McGarvie,Female,60,East Jakeberg,New South Wales,114,92,3,276,114,Shirt,Denim,XL,orange,115,67,"A orange coloured, XL sized, Denim Shirt",16,12645
59,14,2021-03-29,2021-04-12,Felic Marrian,Male,75,Samanthaberg,South Australia,1202,105,2,210,1202,Trousers,Pleated,M,yellow,90,54,"A yellow coloured, M sized, Pleated Trousers",14,12855
60,14,2021-03-29,2021-04-12,Felic Marrian,Male,75,Samanthaberg,South Australia,227,106,3,318,227,Shirt,Chambray,M,green,105,56,"A green coloured, M sized, Chambray Shirt",14,13173
61,14,2021-03-29,2021-04-12,Felic Marrian,Male,75,Samanthaberg,South Australia,108,92,2,184,108,Shirt,Denim,L,red,115,52,"A red coloured, L sized, Denim Shirt",14,13357
62,14,2021-03-29,2021-04-12,Felic Marrian,Male,75,Samanthaberg,South Australia,91,118,3,354,91,Shirt,Flannel,S,blue,96,43,"A blue coloured, S sized, Flannel Shirt",14,13711
63,14,2021-03-29,2021-04-12,Felic Marrian,Male,75,Samanthaberg,South Australia,909,94,2,188,909,Trousers,Cords,XL,violet,113,73,"A violet coloured, XL sized, Cords Trousers",14,13899
64,15,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,West Isla,Tasmania,699,113,3,339,699,Jacket,Parka,XL,violet,119,80,"A violet coloured, XL sized, Parka Jacket",16,14238
65,15,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,West Isla,Tasmania,1195,105,3,315,1195,Trousers,Pleated,XS,orange,90,74,"A orange coloured, XS sized, Pleated Trousers",16,14553
66,15,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,West Isla,Tasmania,291,105,2,210,291,Shirt,Cuban Collar,S,yellow,93,41,"A yellow coloured, S sized, Cuban Collar Shirt",16,14763
67,15,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,West Isla,Tasmania,972,97,3,291,972,Trousers,Slim-Fit,M,indigo,119,67,"A indigo coloured, M sized, Slim-Fit Trousers",16,15054
68,15,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,West Isla,Tasmania,1212,105,2,210,1212,Trousers,Pleated,M,blue,90,66,"A blue coloured, M sized, Pleated Trousers",16,15264
69,16,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,7,96,3,288,7,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",1,15552
70,16,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,381,94,3,282,381,Shirt,Henley,S,violet,92,43,"A violet coloured, S sized, Henley Shirt",1,15834
71,16,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,17,96,2,192,17,Shirt,Oxford Cloth,M,green,114,60,"A green coloured, M sized, Oxford Cloth Shirt",1,16026
72,16,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,297,105,2,210,297,Shirt,Cuban Collar,M,green,93,45,"A green coloured, M sized, Cuban Collar Shirt",1,16236
73,16,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,28,96,1,96,28,Shirt,Oxford Cloth,L,indigo,114,70,"A indigo coloured, L sized, Oxford Cloth Shirt",1,16332
74,16,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,934,96,1,96,934,Trousers,Drawstring,XL,blue,104,60,"A blue coloured, XL sized, Drawstring Trousers",1,16428
75,16,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,324,109,3,327,324,Shirt,Mandarin Collar,XL,orange,108,59,"A orange coloured, XL sized, Mandarin Collar Shirt",1,16755
76,16,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,578,100,2,200,578,Jacket,Bomber,L,green,90,78,"A green coloured, L sized, Bomber Jacket",1,16955
77,16,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,273,95,1,95,273,Shirt,Polo,L,indigo,117,60,"A indigo coloured, L sized, Polo Shirt",1,17050
78,17,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,Samuelside,New South Wales,132,92,2,184,132,Shirt,Denim,M,indigo,115,56,"A indigo coloured, M sized, Denim Shirt",2,17234
79,17,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,Samuelside,New South Wales,791,91,2,182,791,Jacket,Pullover,S,blue,114,73,"A blue coloured, S sized, Pullover Jacket",2,17416
80,17,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,Samuelside,New South Wales,463,118,1,118,463,Jacket,Puffer,L,orange,110,66,"A orange coloured, L sized, Puffer Jacket",2,17534
81,17,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,Samuelside,New South Wales,1066,93,2,186,1066,Trousers,Joggers,S,green,94,76,"A green coloured, S sized, Joggers Trousers",2,17720
82,18,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,Lake Amelia,Victoria,35,104,1,104,35,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",2,17824
83,18,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,Lake Amelia,Victoria,970,97,3,291,970,Trousers,Slim-Fit,XS,indigo,119,74,"A indigo coloured, XS sized, Slim-Fit Trousers",2,18115
84,18,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,Lake Amelia,Victoria,285,105,1,105,285,Shirt,Cuban Collar,XS,orange,93,62,"A orange coloured, XS sized, Cuban Collar Shirt",2,18220
85,18,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,Lake Amelia,Victoria,1110,115,3,345,1110,Trousers,Cropped,XS,indigo,99,55,"A indigo coloured, XS sized, Cropped Trousers",2,18565
86,18,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,Lake Amelia,Victoria,452,107,1,107,452,Jacket,Denim,M,violet,92,43,"A violet coloured, M sized, Denim Jacket",2,18672
87,19,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,Port Ali,Tasmania,71,118,1,118,71,Shirt,Flannel,S,red,96,59,"A red coloured, S sized, Flannel Shirt",11,18790
88,19,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,Port Ali,Tasmania,347,109,2,218,347,Shirt,Mandarin Collar,M,violet,108,76,"A violet coloured, M sized, Mandarin Collar Shirt",11,19008
89,19,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,Port Ali,Tasmania,316,109,2,218,316,Shirt,Mandarin Collar,S,red,108,48,"A red coloured, S sized, Mandarin Collar Shirt",11,19226
90,19,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,Port Ali,Tasmania,809,117,3,351,809,Jacket,Shearling,XL,red,95,42,"A red coloured, XL sized, Shearling Jacket",11,19577
91,19,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,Port Ali,Tasmania,682,113,3,339,682,Jacket,Parka,M,green,119,71,"A green coloured, M sized, Parka Jacket",11,19916
92,20,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,Aliceland,Western Australia,596,112,2,224,596,Jacket,Cardigan,S,red,118,47,"A red coloured, S sized, Cardigan Jacket",7,20140
93,20,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,Aliceland,Western Australia,85,118,3,354,85,Shirt,Flannel,XS,green,96,55,"A green coloured, XS sized, Flannel Shirt",7,20494
94,20,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,Aliceland,Western Australia,571,100,1,100,571,Jacket,Bomber,S,yellow,90,64,"A yellow coloured, S sized, Bomber Jacket",7,20594
95,20,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,Aliceland,Western Australia,1114,115,3,345,1114,Trousers,Cropped,XL,indigo,99,58,"A indigo coloured, XL sized, Cropped Trousers",7,20939
96,20,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,Aliceland,Western Australia,514,102,3,306,514,Jacket,Windbreaker,XL,blue,109,59,"A blue coloured, XL sized, Windbreaker Jacket",7,21245
97,20,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,Aliceland,Western Australia,681,113,1,113,681,Jacket,Parka,S,green,119,62,"A green coloured, S sized, Parka Jacket",7,21358
98,20,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36,Aliceland,Western Australia,1114,115,1,115,1114,Trousers,Cropped,XL,indigo,99,58,"A indigo coloured, XL sized, Cropped Trousers",7,21473
99,21,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54,Donnellyfort,New South Wales,7,96,1,96,7,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",13,21569
100,21,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54,Donnellyfort,New South Wales,298,105,2,210,298,Shirt,Cuban Collar,L,green,93,58,"A green coloured, L sized, Cuban Collar Shirt",13,21779
101,21,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54,Donnellyfort,New South Wales,906,94,2,188,906,Trousers,Cords,S,violet,113,65,"A violet coloured, S sized, Cords Trousers",13,21967
102,22,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,Chasemouth,Western Australia,20,96,1,96,20,Shirt,Oxford Cloth,XS,blue,114,47,"A blue coloured, XS sized, Oxford Cloth Shirt",12,22063
103,22,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,Chasemouth,Western Australia,1040,90,2,180,1040,Trousers,Relaxed Leg,XS,indigo,95,60,"A indigo coloured, XS sized, Relaxed Leg Trousers",12,22243
104,22,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,Chasemouth,Western Australia,134,92,1,92,134,Shirt,Denim,XL,indigo,115,58,"A indigo coloured, XL sized, Denim Shirt",12,22335
105,22,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,Chasemouth,Western Australia,172,91,2,182,172,Shirt,Linen,M,violet,116,44,"A violet coloured, M sized, Linen Shirt",12,22517
106,22,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,Chasemouth,Western Australia,321,109,3,327,321,Shirt,Mandarin Collar,S,orange,108,52,"A orange coloured, S sized, Mandarin Collar Shirt",12,22844
107,22,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21,Chasemouth,Western Australia,912,96,1,96,912,Trousers,Drawstring,M,red,104,70,"A red coloured, M sized, Drawstring Trousers",12,22940
108,23,2021-05-17,2021-05-22,Roley Cassedy,Male,63,North Isabelleside,South Australia,238,106,2,212,238,Shirt,Chambray,L,indigo,105,79,"A indigo coloured, L sized, Chambray Shirt",5,23152
109,23,2021-05-17,2021-05-22,Roley Cassedy,Male,63,North Isabelleside,South Australia,809,117,3,351,809,Jacket,Shearling,XL,red,95,42,"A red coloured, XL sized, Shearling Jacket",5,23503
110,24,2021-09-04,2021-09-20,Faber Purcell,Female,78,Andrewborough,New South Wales,8,96,1,96,8,Shirt,Oxford Cloth,L,orange,114,48,"A orange coloured, L sized, Oxford Cloth Shirt",16,23599
111,24,2021-09-04,2021-09-20,Faber Purcell,Female,78,Andrewborough,New South Wales,852,113,2,226,852,Trousers,Chinos,M,yellow,100,58,"A yellow coloured, M sized, Chinos Trousers",16,23825
112,25,2021-07-04,2021-07-08,Joy Mirrlees,Agender,58,West Rubyland,Queensland,736,109,3,327,736,Jacket,Peacoat,S,red,102,67,"A red coloured, S sized, Peacoat Jacket",4,24152
113,25,2021-07-04,2021-07-08,Joy Mirrlees,Agender,58,West Rubyland,Queensland,593,100,2,200,593,Jacket,Bomber,L,violet,90,68,"A violet coloured, L sized, Bomber Jacket",4,24352
114,26,2021-04-25,2021-05-04,Gorden Seago,Genderfluid,80,Port Aaronton,Queensland,808,117,2,234,808,Jacket,Shearling,L,red,95,40,"A red coloured, L sized, Shearling Jacket",9,24586
115,26,2021-04-25,2021-05-04,Gorden Seago,Genderfluid,80,Port Aaronton,Queensland,154,91,3,273,154,Shirt,Linen,XL,yellow,116,54,"A yellow coloured, XL sized, Linen Shirt",9,24859
116,26,2021-04-25,2021-05-04,Gorden Seago,Genderfluid,80,Port Aaronton,Queensland,453,107,1,107,453,Jacket,Denim,L,violet,92,50,"A violet coloured, L sized, Denim Jacket",9,24966
117,27,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,Crooksshire,Victoria,302,105,2,210,302,Shirt,Cuban Collar,M,blue,93,55,"A blue coloured, M sized, Cuban Collar Shirt",12,25176
118,27,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,Crooksshire,Victoria,823,117,1,117,823,Jacket,Shearling,L,green,95,66,"A green coloured, L sized, Shearling Jacket",12,25293
119,27,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,Crooksshire,Victoria,360,94,1,94,360,Shirt,Henley,XS,yellow,92,42,"A yellow coloured, XS sized, Henley Shirt",12,25387
120,27,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,Crooksshire,Victoria,430,107,1,107,430,Jacket,Denim,XS,yellow,92,52,"A yellow coloured, XS sized, Denim Jacket",12,25494
121,27,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,Crooksshire,Victoria,1027,90,3,270,1027,Trousers,Relaxed Leg,M,yellow,95,68,"A yellow coloured, M sized, Relaxed Leg Trousers",12,25764
122,27,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,Crooksshire,Victoria,603,112,1,112,603,Jacket,Cardigan,L,orange,118,79,"A orange coloured, L sized, Cardigan Jacket",12,25876
123,27,2021-05-16,2021-05-28,Melodee Spencley,Bigender,49,Crooksshire,Victoria,843,113,2,226,843,Trousers,Chinos,L,red,100,44,"A red coloured, L sized, Chinos Trousers",12,26102
124,28,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,South Clairetown,Queensland,19,96,2,192,19,Shirt,Oxford Cloth,XL,green,114,42,"A green coloured, XL sized, Oxford Cloth Shirt",16,26294
125,28,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,South Clairetown,Queensland,226,106,2,212,226,Shirt,Chambray,S,green,105,63,"A green coloured, S sized, Chambray Shirt",16,26506
126,28,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,South Clairetown,Queensland,1158,99,1,99,1158,Trousers,High-Waisted,L,red,98,52,"A red coloured, L sized, High-Waisted Trousers",16,26605
127,28,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,South Clairetown,Queensland,730,119,1,119,730,Jacket,Trench Coat,XS,violet,112,64,"A violet coloured, XS sized, Trench Coat Jacket",16,26724
128,28,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,South Clairetown,Queensland,2,96,2,192,2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",16,26916
129,28,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,South Clairetown,Queensland,761,109,2,218,761,Jacket,Peacoat,S,indigo,102,49,"A indigo coloured, S sized, Peacoat Jacket",16,27134
130,28,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,South Clairetown,Queensland,684,113,3,339,684,Jacket,Parka,XL,green,119,55,"A green coloured, XL sized, Parka Jacket",16,27473
131,28,2021-08-19,2021-09-04,Crin Johnikin,Polygender,66,South Clairetown,Queensland,922,96,2,192,922,Trousers,Drawstring,M,yellow,104,55,"A yellow coloured, M sized, Drawstring Trousers",16,27665
